"sink","source","sink","col3","source","col5"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.SingleRouterChain<T>.route with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.SingleRouterChain<T>.route with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.loadbalance.ConsistentHashLoadBalance$ConsistentHashSelector<T>.select with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.loadbalance.ConsistentHashLoadBalance$ConsistentHashSelector<T>.select with untrusted data from $@.","msg : Object","msg : Object"
"bindings","msg : Object","bindings","Call to javax.script.CompiledScript.eval with untrusted data from $@.","msg : Object","msg : Object"
"bindings","msg : Object","bindings","Call to javax.script.CompiledScript.eval with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.router.state.AbstractStateRouter<T>.route with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.router.state.AbstractStateRouter<T>.route with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.support.AbstractClusterInvoker<T>.invokeWithContext with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.support.AbstractClusterInvoker<T>.invokeWithContext with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.support.AbstractClusterInvoker<T>.invokeWithContextAsync with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.support.AbstractClusterInvoker<T>.invokeWithContextAsync with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.support.AbstractClusterInvoker<T>.invokeWithContext with untrusted data from $@.","msg : Object","msg : Object"
"invocation","msg : Object","invocation","Call to org.apache.dubbo.rpc.cluster.support.AbstractClusterInvoker<T>.invokeWithContext with untrusted data from $@.","msg : Object","msg : Object"
"toLowerCase(...)","msg : HttpRequest","toLowerCase(...)","Call to java.lang.String.startsWith with untrusted data from $@.","msg : HttpRequest","msg : HttpRequest"
"toLowerCase(...)","msg : String","toLowerCase(...)","Call to java.lang.String.startsWith with untrusted data from $@.","msg : String","msg : String"
